Title,Date,Author,Location,Format,Paid,Cost,Ownership,Sold,Notes
Veil 1,2025-01-02,Kotteri!,Wallapop,Physical,Wallet,11.31,Owned,,
Veil 2,2025-01-02,Kotteri!,Wallapop,Physical,Wallet,11.31,Owned,,
JoJo Part 8 JoJolion 08,2024-12-21,"Araki, Hirohiko",fnac,Physical,Myself,8.55,Owned,,
JoJo Part 8 JoJolion 09,2024-12-21,"Araki, Hirohiko",fnac,Physical,Myself,8.55,Owned,,
El Miedo,2024-12-19,"Hesse, María",El Corte Inglés,Physical,Myself,22.90,Owned,,
JoJo Part 8 JoJolion 06,2024-11-23,"Araki, Hirohiko",Comic Stores,Physical,Mom,9.00,Owned,,
JoJo Part 8 JoJolion 07,2024-11-23,"Araki, Hirohiko",Comic Stores,Physical,Mom,9.00,Owned,,
El Placer,2024-10-20,"Hesse, María",Librería Mar de Libros,Physical,Myself,20.60,Owned,,
El Arte de Hacer Manga: Teoría y Práctica,2024-10-05,"Araki, Hirohiko",Comic Stores,Physical,Myself,12.00,Owned,,
Neon Genesis Evangelion 02,2024-10-05,"Sadamoto, Yoshiyuki",Comic Stores,Physical,Myself,14.99,Sold,2025-04-16,
JoJo Part 8 JoJolion 05,2024-09-21,"Araki, Hirohiko",fnac,Physical,Myself,8.55,Owned,,
JoJo Part 8 JoJolion 04,2024-08-21,"Araki, Hirohiko",fnac,Physical,Myself,8.55,Owned,,
JoJo Part 8 JoJolion 03,2024-07-26,"Araki, Hirohiko",Comic Stores,Physical,Myself,9.00,Owned,,
SandLand (Nueva Edición),2024-07-26,"Toriyama, Akira",fnac,Physical,Myself,11.35,Owned,,
JoJo Part 8 JoJolion 02,2024-04-27,"Araki, Hirohiko",fnac,Physical,Myself,8.55,Owned,,
El Hobbit,2023-12-28,"Tolkien, J.R.R.",fnac,Physical,Myself,10.40,Sold,2023-05-19,
Stop!! Hibari-kun! Edición Integral 1,2023-12-28,"Eguchi, Hisashi",Comic Stores,Physical,Myself,14.50,Owned,,
Boys Run the Riot 1,2023-10-18,"Gaku, Keito",Wallapop,Physical,Wallet,6.29,Owned,,
Boys Run the Riot 2,2023-10-18,"Gaku, Keito",Wallapop,Physical,Wallet,6.29,Owned,,
Boys Run the Riot 3,2023-10-18,"Gaku, Keito",Wallapop,Physical,Wallet,6.29,Owned,,
Boys Run the Riot 4,2023-10-18,"Gaku, Keito",Wallapop,Physical,Wallet,6.29,Owned,,
Dan Da Dan 04,2023-09-30,"Tatsu, Yukinobu",Librería Dorian,Physical,Myself,9.00,Sold,2025-03-14,
"Under Execution, Under Jailbreak",2023-09-30,"Araki, Hirohiko",Librería Dorian,Physical,Myself,9.00,Owned,,
JoJo Part 8 JoJolion 01,2023-08-06,"Araki, Hirohiko",fnac,Physical,Myself,8.55,Owned,,
The Legend of Zelda: Twilight Princess 11,2023-08-06,"Himekawa, Akira",fnac,Physical,Myself,8.55,Owned,,
Dan Da Dan 01,2023-06-04,"Tatsu, Yukinobu",fnac,Physical,Dad,3.80,Sold,2025-03-14,
Dan Da Dan 02,2023-06-04,"Tatsu, Yukinobu",fnac,Physical,Dad,3.80,Sold,2025-03-14,
