Title,Date,Author,Location,Format,Paid,Cost,Ownership,Sold,Notes
JoJo Part 8 JoJolion 15,08-21-25,"Araki, Hirohiko",fnac,Physical,Myself,8.55,Owned,,
JoJo Part 8 JoJolion 16,08-21-25,"Araki, Hirohiko",fnac,Physical,Myself,8.55,Owned,,
Alicia en el País de las Maravillas,07-12-25,"Carroll, Lewis",Livraria Lello,Physical,Myself,15.95,Owned,,
El Arte de la Guerra,07-12-25,"Tzu, Sun",Livraria Lello,Physical,Myself,15.95,Owned,,
El Principito,07-07-25,"Saint-Exupery, Antoine de",Livraria Lello,Physical,Myself,15.95,Owned,,Technically belongs to mom.
Veil 6,05-25-25,Kotteri!,El Corte Inglés,Physical,Mom,12.95,Owned,,
House of Leaves,05-19-25,"Danielewski, Mark Z.",Vinted,Physical,Wallet,15.05,Owned,,
Only Revolutions,05-15-25,"Danielewski, Mark Z.",Wallapop,Physical,Wallet,19.30,Owned,,
JoJo Part 8 JoJolion 13,05-03-25,"Araki, Hirohiko",fnac,Physical,Dad,8.55,Owned,,
JoJo Part 8 JoJolion 14,05-03-25,"Araki, Hirohiko",fnac,Physical,Dad,8.55,Owned,,
Veil 5,05-03-25,Kotteri!,fnac,Physical,Myself,12.30,Owned,,
Fire Punch 4,04-21-25,"Fujimoto, Tatsuki",Librería Dorian,Physical,Myself,7.67,Owned,,
Fire Punch 5,04-21-25,"Fujimoto, Tatsuki",Librería Dorian,Physical,Myself,7.67,Owned,,
Fire Punch 6,04-21-25,"Fujimoto, Tatsuki",Librería Dorian,Physical,Myself,7.67,Owned,,
Fire Punch 7,04-21-25,"Fujimoto, Tatsuki",Librería Dorian,Physical,Myself,7.67,Owned,,
JoJo Part 8 JoJolion 11,04-05-25,"Araki, Hirohiko",fnac,Physical,Dad,8.55,Owned,,
JoJo Part 8 JoJolion 12,04-05-25,"Araki, Hirohiko",fnac,Physical,Dad,8.55,Owned,,
Neon Genesis Evangelion 1,04-04-25,"Sadamoto, Yoshiyuki",Wallapop,Physical,Wallet,13.17,Owned,,
Neon Genesis Evangelion 2,04-04-25,"Sadamoto, Yoshiyuki",Wallapop,Physical,Wallet,13.17,Owned,,
Neon Genesis Evangelion 3,04-04-25,"Sadamoto, Yoshiyuki",Wallapop,Physical,Wallet,13.17,Owned,,
Neon Genesis Evangelion 4,04-04-25,"Sadamoto, Yoshiyuki",Wallapop,Physical,Wallet,13.17,Owned,,
Neon Genesis Evangelion 5,04-04-25,"Sadamoto, Yoshiyuki",Wallapop,Physical,Wallet,13.17,Owned,,
Neon Genesis Evangelion 6,04-04-25,"Sadamoto, Yoshiyuki",Wallapop,Physical,Wallet,13.17,Owned,,
Neon Genesis Evangelion 7,04-04-25,"Sadamoto, Yoshiyuki",Wallapop,Physical,Wallet,13.17,Owned,,
"Tierra, mar y aire",04-03-25,"Campos Doménech, Patricia",Wallapop,Physical,Wallet,10.68,Owned,,
El Viaje de Shuna,03-27-25,"Miyazaki, Hayao",Librería Pop Art,Physical,Myself,29.40,Owned,,
Fire Punch 2,03-13-25,"Fujimoto, Tatsuki",Librería Dorian,Physical,Myself,9.00,Owned,,
Fire Punch 3,03-13-25,"Fujimoto, Tatsuki",Librería Dorian,Physical,Myself,9.00,Owned,,
Quiérete mucho,03-09-25,"Martín, Gabriel J.",PDFDrive,Digital,Myself,0.00,Owned,,
Veil 4,03-02-25,Kotteri!,fnac,Physical,Myself,12.30,Owned,,
Adolf (Nueva Edición) 1,02-11-25,"Tezuka, Ozamu",Wallapop,Physical,Wallet,8.22,Owned,,
Adolf (Nueva Edición) 2,02-11-25,"Tezuka, Ozamu",Wallapop,Physical,Wallet,8.22,Owned,,
Adolf (Nueva Edición) 3,02-11-25,"Tezuka, Ozamu",Wallapop,Physical,Wallet,8.22,Owned,,
Adolf (Nueva Edición) 4,02-11-25,"Tezuka, Ozamu",Wallapop,Physical,Wallet,8.22,Owned,,
Adolf (Nueva Edición) 5,02-11-25,"Tezuka, Ozamu",Wallapop,Physical,Wallet,8.22,Owned,,
Las Mujeres que Aman Demasiado,02-11-25,"Norwood, Robin",found,Physical,Myself,0.00,Owned,,Found on top of a car.
Maus (Edición 40 Aniversario),02-11-25,"Spiegelman, Art",Wallapop,Physical,Wallet,8.22,Owned,,
Veil 3,01-25-25,Kotteri!,fnac,Physical,Myself,12.95,Owned,,
21 Lessons for the 21st Century,01-08-25,"Harari, Yuval Noah",Amazon,Physical,Mom,12.74,Owned,,
Homo Deus: A Brief History of Tomorrow,01-08-25,"Harari, Yuval Noah",Amazon,Physical,Mom,12.74,Owned,,
Sapiens: A Brief History of Humankind,01-08-25,"Harari, Yuval Noah",Amazon,Physical,Mom,12.74,Owned,,
JoJo Part 8 JoJolion 10,01-04-25,"Araki, Hirohiko",fnac,Physical,Myself,8.55,Owned,,
Veil 1,01-02-25,Kotteri!,Wallapop,Physical,Wallet,11.31,Owned,,
Veil 2,01-02-25,Kotteri!,Wallapop,Physical,Wallet,11.31,Owned,,
JoJo Part 8 JoJolion 08,12-21-24,"Araki, Hirohiko",fnac,Physical,Myself,8.55,Owned,,
JoJo Part 8 JoJolion 09,12-21-24,"Araki, Hirohiko",fnac,Physical,Myself,8.55,Owned,,
El Miedo,12-19-24,"Hesse, María",El Corte Inglés,Physical,Myself,22.90,Owned,,
JoJo Part 8 JoJolion 06,11-23-24,"Araki, Hirohiko",Comic Stores,Physical,Mom,9.00,Owned,,
JoJo Part 8 JoJolion 07,11-23-24,"Araki, Hirohiko",Comic Stores,Physical,Mom,9.00,Owned,,
El Placer,10-20-24,"Hesse, María",Librería Mar de Libros,Physical,Myself,20.60,Owned,,
El Arte de Hacer Manga: Teoría y Práctica,10-05-24,"Araki, Hirohiko",Comic Stores,Physical,Myself,12.00,Owned,,
Neon Genesis Evangelion 02,10-05-24,"Sadamoto, Yoshiyuki",Comic Stores,Physical,Myself,14.99,Sold,04-16-25,
JoJo Part 8 JoJolion 05,09-21-24,"Araki, Hirohiko",fnac,Physical,Myself,8.55,Owned,,
JoJo Part 8 JoJolion 04,08-21-24,"Araki, Hirohiko",fnac,Physical,Myself,8.55,Owned,,
JoJo Part 8 JoJolion 03,07-26-24,"Araki, Hirohiko",Comic Stores,Physical,Myself,9.00,Owned,,
SandLand (Nueva Edición),07-26-24,"Toriyama, Akira",fnac,Physical,Myself,11.35,Owned,,
JoJo Part 8 JoJolion 02,04-27-24,"Araki, Hirohiko",fnac,Physical,Myself,8.55,Owned,,
El Hobbit,12-28-23,"Tolkien, J.R.R.",fnac,Physical,Myself,10.40,Sold,05-19-23,
Stop!! Hibari-kun! Edición Integral 1,12-28-23,"Eguchi, Hisashi",Comic Stores,Physical,Myself,14.50,Owned,,
Boys Run the Riot 1,10-18-23,"Gaku, Keito",Wallapop,Physical,Wallet,6.29,Owned,,
Boys Run the Riot 2,10-18-23,"Gaku, Keito",Wallapop,Physical,Wallet,6.29,Owned,,
Boys Run the Riot 3,10-18-23,"Gaku, Keito",Wallapop,Physical,Wallet,6.29,Owned,,
Boys Run the Riot 4,10-18-23,"Gaku, Keito",Wallapop,Physical,Wallet,6.29,Owned,,
Dan Da Dan 04,09-30-23,"Tatsu, Yukinobu",Librería Dorian,Physical,Myself,9.00,Sold,03-14-25,
"Under Execution, Under Jailbreak",09-30-23,"Araki, Hirohiko",Librería Dorian,Physical,Myself,9.00,Owned,,
JoJo Part 8 JoJolion 01,08-06-23,"Araki, Hirohiko",fnac,Physical,Myself,8.55,Owned,,
The Legend of Zelda: Twilight Princess 11,08-06-23,"Himekawa, Akira",fnac,Physical,Myself,8.55,Owned,,
Dan Da Dan 01,06-04-23,"Tatsu, Yukinobu",fnac,Physical,Dad,3.80,Sold,03-14-25,
Dan Da Dan 02,06-04-23,"Tatsu, Yukinobu",fnac,Physical,Dad,3.80,Sold,03-14-25,
100 Animals That Can Fucking End You,02-24-23,"Ndiaye, Mamadou",Amazon,Digital,Myself,2.99,Owned,,
Neon Genesis Evangelion 01,02-18-23,"Sadamoto, Yoshiyuki",Librería Dorian,Physical,Myself,9.95,Sold,04-16-25,
El Club de la Lucha,02-04-23,"Palahniuk, Chuck",Librería Dorian,Physical,Myself,4.95,Owned,,
Beck 01,01-20-23,"Sakuishi, Harold",fnac,Physical,Myself,7.58,Sold,12-21-25,
Beck 02,01-20-23,"Sakuishi, Harold",fnac,Physical,Myself,7.58,Sold,12-21-25,
Cool Shock B.T.,12-23-22,"Araki, Hirohiko",Comic Stores,Physical,Dad,9.00,Owned,,
The Legend of Zelda: Twilight Princess 08,12-23-22,"Himekawa, Akira",fnac,Physical,Dad,8.55,Owned,,
Jigokuraku 13 + Cofre,12-10-22,"Kaku, Yuji",Librería Dorian,Physical,Mom,8.00,Owned,,
The Legend of Zelda: Twilight Princess 10,12-10-22,"Himekawa, Akira",Librería Dorian,Physical,Myself,9.00,Owned,,
Abara (Master Edition) + Calendario,11-26-22,"Nihei, Tsutomu",Comic Stores,Physical,Grandma,19.00,Owned,,
The Legend of Zelda: Twilight Princess 06,11-26-22,"Himekawa, Akira",Comic Stores,Physical,Myself,8.55,Owned,,
The Legend of Zelda: Twilight Princess 07,11-26-22,"Himekawa, Akira",Comic Stores,Physical,Myself,8.55,Owned,,
Dragon Ball Ultimate Edition 01,10-01-22,"Toriyama, Akira",fnac,Physical,Dad,11.35,Sold,,
The Legend of Zelda: Twilight Princess 05,10-01-22,"Himekawa, Akira",Comic Stores,Physical,Dad,7.60,Owned,,
My Hero Academia 31,09-24-22,"Horikoshi, Kohei",El Corte Inglés,Physical,Mom,7.95,Sold,,
The Legend of Zelda: Twilight Princess 04,08-31-22,"Himekawa, Akira",Librería Dorian,Physical,Myself,6.00,Owned,,
Hunter x Hunter (Promo),08-25-22,Yoshihiro Togashi,Librería Dorian,Physical,Myself,1.95,Returned,,
Jigokuraku 1,08-25-22,"Kaku, Yuji",Librería Dorian,Physical,Myself,8.00,Sold,,
Alice in Wonderland (Illustrated),08-12-22,"Carroll, Lewis",Amazon,Digital,Myself,0.00,Owned,,
Tatsuki Fujimoto Historias Cortas 17-21,08-08-22,"Fujimoto, Tatsuki",fnac,Physical,Dad,7.60,Owned,,
Tatsuki Fujimoto Historias Cortas 22-26,08-08-22,"Fujimoto, Tatsuki",fnac,Physical,Myself,5.20,Owned,,
Dan Da Dan 03,07-29-22,"Tatsu, Yukinobu",fnac,Physical,Myself,2.70,Sold,03-14-25,
My Hero Academia 29,07-29-22,"Horikoshi, Kohei",fnac,Physical,Dad,7.95,Sold,,
My Hero Academia 30 + Posavasos,07-29-22,"Horikoshi, Kohei",fnac,Physical,Dad,7.95,Sold,,
"Buenas Noches, Punpun 02",07-24-22,"Asano, Inio",Mercadillo,Physical,Dad,2.00,Sold,,
El Niño del Pijama de Rayas,07-24-22,"Boyne, John",Mercadillo,Physical,Dad,1.00,Owned,,
Berserk (Maximum) 03,06-10-22,"Miura, Kentaro",fnac,Physical,Myself,6.10,Sold,,
Fire Punch 1,06-10-22,"Fujimoto, Tatsuki",Wallapop,Physical,Wallet,7.22,Owned,,
Fire Punch 8 + Cofre,06-10-22,"Fujimoto, Tatsuki",Wallapop,Physical,Wallet,7.22,Owned,,
